Region,Col1,Contents,Date,Joy_count,Peace_count,sentiment
,اهل,"""

اللهم كُن جبري حين أُكسر،كُن يقينِي حين تعلم أني أُظلم،كُن نوري وهُداي حين أسقط وأتعَثر..!

""
... يارب ...",22/02/2019 11:12,1,2,Peace
Hafr Al Batin,منصور الفهيد,"بيتين شعر تقليدية مباشرة جداً على بحر المسحوب والشطر الأول ثقييييل إذا مو مكسور بعد من شاعر يفترض أنه جزل !
مش هنا… https://t.co/rC0DcTJKNt",22/02/2019 11:12,0,0,Other
Riyadh,أبو سلمى,@Elzmalkwya1911 https://t.co/96ub45497k,22/02/2019 11:12,0,0,Other
Hail,علي محمد الضبعان,تشرفت عصر أمس بحضور زيارة صاحب السمو الملكي الأمير فيصل بن فهد بن مقرن نائب أمير منطقة #حائل لمركز الهجن والهجانة ب… https://t.co/vgDpW6vsDv,22/02/2019 11:12,0,0,Other
Riyadh,خالد الشمري,@Abdulla12683467 سبحان الله روعه,22/02/2019 11:12,0,0,Other
Jeddah,Mahmoud Bashawri,"I'm at Piatto in Jeddah, Makkah Province https://t.co/Urg0TVntKZ",22/02/2019 11:12,0,0,Other
Al Madinah Al Munawwarah,العنود .,احس كلو يهون الا الاستهزاء و الإهانة,22/02/2019 11:12,0,0,Other
Asir,#فريق_طقس_القنفذه,"يحدث الان 🔴

رشوش خفيفه الان على بني ذيب شرق حلي 

عضو الفريق/ يحيى الذيبي https://t.co/yTTrE56jVi",22/02/2019 11:12,0,0,Other
Riyadh,انس العبيد🕊,#يوم_الجمعه https://t.co/OF5mSviyk1,22/02/2019 11:12,0,0,Other
Jeddah,محمد بن عودهـ,@shroq240 اللهم امين,22/02/2019 11:12,0,0,Other
Jeddah,مشاري بن عوض الدوسي,الله يوفقك يا اختي ويتمم لك على خير يارب ❤️😍 الف مبروك,22/02/2019 11:12,1,1,Other
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/2FgqLyaBFQ,22/02/2019 11:12,0,0,Other
Zulfi,Qweftyuiop,"@i5ii8 الكويتية

اقولة تحمد ربك فية حريم ماتطبخ 
لزواجهاءاوروح اكل بلمطعم🌹🌹🌹",22/02/2019 11:12,0,0,Other
Kingdom of Saudi Arabia,رحمة ملكة السكس,"ممحونه بيضا مربربه بصدر ضخم تغوى جارها الخال بلحمها الطرى يدخل بيتها يعريها و يدمر كسها الطرى نيك عنيف

رابط الفلم… https://t.co/DNLS9AOpH2",22/02/2019 11:12,0,0,Other
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/kqdA0GTVcP,22/02/2019 11:12,0,0,Other
Jeddah,G,https://t.co/33G7mqH9oQ,22/02/2019 11:12,0,0,Other
Al Madinah Al Munawwarah,HaSaN♥️,"@xmsxa_ لا تتكلمي معاه سيبك منه يباكي تنقهري 
طنشيه وهوا اللي بينقهر",22/02/2019 11:12,0,0,Other
Jeddah,ياسر مدخلي,@YaserAlhassan بالتوفيق دوما,22/02/2019 11:12,0,0,Other
Jubail,💙💛 النصر العالمي 💙💛,@naaaaiif لاياشيخ,22/02/2019 11:12,0,0,Other
